Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN25991,2,0,2,1,Meal Plan 1,0,Room_Type 1,20,2018,2,7,Online,0,0,0,93.0,2,Not_Canceled
INN30419,1,0,1,3,Meal Plan 1,1,Room_Type 1,12,2018,2,15,Online,0,0,0,95.0,0,Not_Canceled
INN04255,2,0,1,1,Meal Plan 1,0,Room_Type 1,10,2017,12,5,Online,0,0,0,80.75,0,Not_Canceled
INN10715,2,0,1,2,Not Selected,0,Room_Type 1,102,2018,11,7,Offline,0,0,0,59.5,0,Canceled
INN34190,1,0,1,0,Meal Plan 1,0,Room_Type 4,7,2018,8,8,Corporate,0,0,0,94.0,0,Not_Canceled
INN30104,2,0,2,1,Meal Plan 1,0,Room_Type 1,26,2017,9,12,Online,0,0,0,124.0,3,Not_Canceled
INN23389,2,0,2,2,Meal Plan 1,0,Room_Type 4,106,2018,4,17,Online,0,0,0,90.95,1,Not_Canceled
INN19153,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
INN05222,1,0,3,7,Meal Plan 1,0,Room_Type 1,0,2017,11,30,Online,1,0,1,69.0,1,Not_Canceled
INN17768,2,0,0,2,Not Selected,0,Room_Type 1,13,2018,3,8,Online,0,0,0,81.0,0,Not_Canceled
INN07965,2,0,0,3,Meal Plan 1,0,Room_Type 1,15,2018,4,27,Online,0,0,0,103.44,0,Canceled
INN34332,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,80.0,0,Not_Canceled
INN22997,2,0,1,2,Meal Plan 1,0,Room_Type 1,102,2017,10,16,Online,0,0,0,89.25,0,Not_Canceled
INN21013,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,87.0,0,Not_Canceled
INN14932,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,9,30,Corporate,0,0,0,65.0,0,Not_Canceled
INN11452,2,0,0,3,Meal Plan 1,0,Room_Type 1,78,2018,9,29,Offline,0,0,0,95.0,1,Not_Canceled
INN14639,2,0,0,2,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Offline,0,0,0,100.0,0,Not_Canceled
INN35025,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Offline,0,0,0,109.0,0,Canceled
INN35557,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,2018,10,17,Online,0,0,0,129.0,2,Not_Canceled
INN16605,2,0,2,2,Not Selected,0,Room_Type 1,72,2018,10,30,Online,0,0,0,79.65,0,Canceled
INN16712,2,0,2,3,Meal Plan 1,0,Room_Type 1,93,2017,8,15,Online,0,0,0,76.5,2,Canceled
INN29121,2,0,0,1,Meal Plan 1,0,Room_Type 1,91,2018,7,6,Online,0,0,0,114.3,0,Not_Canceled
INN00706,2,0,2,0,Not Selected,0,Room_Type 1,24,2018,9,11,Online,0,0,0,71.69,1,Not_Canceled
INN02147,1,0,2,0,Meal Plan 1,0,Room_Type 1,5,2018,2,28,Corporate,1,0,2,66.0,0,Not_Canceled
INN28324,1,0,0,1,Not Selected,0,Room_Type 1,6,2018,12,1,Online,0,0,0,88.0,0,Not_Canceled
INN01067,2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,8,10,Online,0,0,0,135.9,1,Not_Canceled
INN03571,1,0,0,2,Meal Plan 2,0,Room_Type 1,14,2017,9,17,Online,0,0,0,0.0,0,Not_Canceled
INN04217,1,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,12,14,Online,0,0,0,75.2,0,Not_Canceled
INN30828,1,0,1,0,Not Selected,0,Room_Type 1,5,2017,11,15,Online,0,0,0,73.15,0,Not_Canceled
INN31916,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81.0,0,Not_Canceled
INN27094,2,0,2,5,Meal Plan 1,0,Room_Type 1,97,2018,4,30,Online,0,0,0,109.81,1,Not_Canceled
INN20703,2,0,1,5,Meal Plan 1,0,Room_Type 1,56,2018,3,28,Online,0,0,0,85.85,1,Canceled
INN04242,2,0,1,1,Meal Plan 1,0,Room_Type 4,60,2018,9,3,Online,0,0,0,123.3,1,Canceled
INN09039,1,0,2,1,Not Selected,0,Room_Type 1,8,2018,10,29,Online,0,0,0,85.35,1,Not_Canceled
INN35501,3,0,0,3,Meal Plan 1,0,Room_Type 4,198,2018,9,22,Online,0,0,0,159.3,1,Canceled
INN04170,2,0,4,6,Meal Plan 2,0,Room_Type 1,163,2018,8,21,Offline,0,0,0,72.25,1,Not_Canceled
INN09481,1,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,9,23,Online,0,0,0,117.81,1,Not_Canceled
INN25579,2,0,1,2,Meal Plan 1,0,Room_Type 1,20,2018,11,14,Offline,0,0,0,80.0,0,Not_Canceled
INN00617,1,0,1,1,Meal Plan 1,0,Room_Type 1,3,2017,9,7,Offline,0,0,0,98.8,0,Not_Canceled
INN15771,2,0,2,1,Meal Plan 1,0,Room_Type 4,1,2018,2,7,Offline,0,0,0,51.5,0,Not_Canceled
INN24460,2,0,2,0,Meal Plan 1,0,Room_Type 4,30,2018,1,31,Online,0,0,0,79.6,1,Not_Canceled
INN16818,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
INN05383,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,0,0,0,115.0,1,Canceled
INN05468,2,0,2,2,Not Selected,0,Room_Type 1,186,2018,9,30,Online,0,0,0,102.6,2,Canceled
INN04529,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Online,0,0,0,89.0,0,Canceled
INN09155,1,0,0,1,Meal Plan 1,0,Room_Type 4,2,2018,3,2,Offline,0,0,0,55.0,0,Not_Canceled
INN01973,1,0,1,2,Meal Plan 1,0,Room_Type 4,12,2017,10,5,Offline,0,0,0,75.0,0,Not_Canceled
INN24453,2,2,1,0,Meal Plan 1,0,Room_Type 6,9,2018,8,1,Online,0,0,0,201.0,3,Not_Canceled
INN30767,3,0,0,5,Meal Plan 2,0,Room_Type 4,183,2018,8,16,Online,0,0,0,187.5,0,Canceled
INN01524,2,0,0,3,Meal Plan 1,0,Room_Type 1,79,2017,7,7,Complementary,0,0,0,37.33,1,Not_Canceled
INN13911,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,2018,10,16,Online,0,0,0,100.75,0,Canceled
INN28343,2,0,0,2,Meal Plan 1,0,Room_Type 1,97,2018,4,8,Online,0,0,0,96.3,1,Not_Canceled
INN34617,2,0,0,4,Meal Plan 1,0,Room_Type 1,175,2018,8,31,Online,0,0,0,112.63,0,Canceled
INN16478,1,0,0,1,Not Selected,0,Room_Type 1,69,2018,10,28,Online,0,0,0,57.52,1,Not_Canceled
INN28655,2,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,9,1,Offline,0,0,0,95.0,1,Not_Canceled
INN16823,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,2017,12,24,Offline,0,0,0,62.8,0,Not_Canceled
INN12658,1,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,3,27,Offline,0,0,0,86.0,0,Not_Canceled
INN28497,2,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,3,16,Online,0,0,0,95.48,1,Not_Canceled
INN06497,2,0,0,1,Not Selected,0,Room_Type 1,67,2018,8,13,Online,0,0,0,125.1,1,Not_Canceled
INN36230,3,0,0,3,Meal Plan 1,0,Room_Type 1,42,2017,11,25,Online,0,0,0,106.8,1,Not_Canceled
INN01720,2,0,2,1,Meal Plan 2,0,Room_Type 1,4,2018,1,2,Offline,0,0,0,109.0,0,Not_Canceled
INN35398,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2018,1,25,Corporate,0,0,0,59.0,0,Not_Canceled
INN08375,2,0,1,2,Not Selected,0,Room_Type 1,133,2018,4,29,Online,0,0,0,88.5,0,Canceled
INN33097,2,0,1,4,Meal Plan 1,0,Room_Type 1,74,2018,2,17,Online,0,0,0,55.24,0,Not_Canceled
INN03247,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,8,2,Online,0,0,0,102.7,0,Not_Canceled
INN14527,2,0,2,0,Not Selected,0,Room_Type 1,135,2018,5,22,Online,0,0,0,94.5,2,Not_Canceled
INN14556,3,0,0,3,Meal Plan 1,0,Room_Type 1,128,2018,5,4,Offline,0,0,0,105.4,1,Not_Canceled
INN08305,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,5,9,Online,0,0,0,89.0,0,Not_Canceled
INN27074,2,0,1,0,Not Selected,0,Room_Type 1,6,2017,8,23,Online,0,0,0,81.0,0,Not_Canceled
INN22014,2,0,0,2,Meal Plan 1,0,Room_Type 1,38,2018,12,2,Corporate,0,0,0,85.0,0,Not_Canceled
INN28523,1,0,0,1,Meal Plan 1,0,Room_Type 4,20,2018,5,11,Online,0,0,0,156.0,0,Canceled
INN05129,2,0,1,3,Meal Plan 1,0,Room_Type 1,240,2018,10,27,Online,0,0,0,90.95,2,Not_Canceled
INN20758,1,0,2,5,Meal Plan 1,0,Room_Type 1,34,2018,11,14,Online,0,0,0,74.8,2,Canceled
INN28837,2,0,0,2,Meal Plan 1,0,Room_Type 1,79,2017,11,13,Offline,0,0,0,75.0,0,Not_Canceled
INN02799,2,1,2,3,Meal Plan 1,0,Room_Type 4,126,2018,5,15,Online,0,0,0,125.45,2,Not_Canceled
INN26915,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,12,14,Online,0,0,0,88.0,1,Not_Canceled
INN02623,2,0,0,1,Meal Plan 1,0,Room_Type 1,31,2018,10,4,Online,0,0,0,125.1,1,Not_Canceled
INN05686,2,0,2,1,Meal Plan 1,0,Room_Type 4,2,2017,9,20,Offline,0,0,0,75.0,0,Not_Canceled
INN35699,2,0,0,2,Not Selected,0,Room_Type 1,35,2018,6,1,Online,0,0,0,84.24,0,Canceled
INN25840,3,0,2,2,Meal Plan 1,0,Room_Type 4,147,2018,7,3,Online,0,0,0,127.93,1,Not_Canceled
INN25754,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
INN05032,3,0,0,3,Meal Plan 1,0,Room_Type 4,176,2018,8,9,Online,0,0,0,137.7,2,Canceled
INN30191,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,5,23,Corporate,0,0,0,65.0,0,Not_Canceled
INN14638,3,0,1,3,Meal Plan 1,0,Room_Type 6,22,2018,6,13,Online,0,0,0,206.0,2,Not_Canceled
INN24139,2,0,0,2,Meal Plan 1,0,Room_Type 1,31,2018,7,27,Online,0,0,0,135.9,1,Canceled
INN18942,2,0,1,3,Meal Plan 1,0,Room_Type 4,73,2018,9,19,Online,0,0,0,149.4,1,Canceled
INN13656,2,0,0,2,Not Selected,0,Room_Type 1,2,2018,3,22,Online,0,0,0,98.0,0,Not_Canceled
INN00881,2,0,2,0,Meal Plan 1,0,Room_Type 1,83,2018,12,18,Offline,0,0,0,75.0,0,Not_Canceled
INN32850,1,0,0,1,Meal Plan 1,0,Room_Type 7,8,2018,2,6,Corporate,0,0,0,101.0,0,Not_Canceled
INN10032,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2018,1,20,Online,0,0,0,80.3,1,Not_Canceled
INN22509,2,0,0,2,Not Selected,0,Room_Type 1,192,2018,8,3,Online,0,0,0,94.5,0,Canceled
INN04169,3,0,2,8,Meal Plan 1,0,Room_Type 4,39,2018,12,8,Online,0,0,0,130.9,2,Not_Canceled
INN04362,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,130.0,0,Canceled
INN02711,2,0,6,13,Not Selected,0,Room_Type 1,64,2018,3,10,Online,0,0,0,70.46,0,Canceled
INN17163,2,0,0,1,Meal Plan 1,0,Room_Type 1,39,2017,10,23,Online,0,0,0,96.3,2,Not_Canceled
INN21635,2,0,2,2,Meal Plan 1,0,Room_Type 4,47,2018,9,18,Online,0,0,0,119.52,0,Not_Canceled
INN01247,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
INN00665,2,1,1,1,Meal Plan 1,1,Room_Type 1,27,2018,8,8,Online,0,0,0,195.5,2,Not_Canceled
INN30868,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,115.0,1,Canceled
INN06342,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Online,0,0,0,89.0,0,Canceled
